vfid,RA,DEC,vr,radius,objname
VFID0102,191.40167,71.318726,1200,14.161891,PGC043010
VFID0103,228.07709,71.265495,1534.5,20.42308,PGC091421
VFID0104,156.93825,71.237,1126.2,25.652002,UGC05658
VFID0105,106.847916,71.1925,3260,26.614681,UGC03657
VFID0106,198.15562,71.19135,3142,36.317944,UGC08305
VFID0107,191.78802,71.17621,1672.4,30,NGC4693
VFID0108,115.0014,71.1352,2457.5,36.65399,UGC03940
VFID0109,261.63034,71.0963,1162.7,67.47164,NGC6395
VFID0110,106.40933,71.07039,3245.8,56.77031,UGC03644
VFID0111,273.75287,71.00546,1512.1,27.804895,UGC11193
VFID0112,105.672874,70.97061,3274.8,29.520332,UGC03626
VFID0113,156.02742,70.88221,1011.2,78.54549,UGC05612
VFID0114,114.54963,70.85214,2486.8,21.238373,UGC03921
VFID0115,184.35976,70.802444,2039,56.120464,NGC4250
VFID0116,191.03014,70.78977,1800,27.933237,PGC042888
VFID0117,251.14487,70.78036,1279.7,54.591026,NGC6236
VFID0118,140.27667,70.6983,838.1,18.49785,PGC026462
VFID0119,170.42908,70.64764,2571,26.370676,UGC06371
VFID0120,152.20976,70.633606,1290.3,51.064754,UGC05455
VFID0121,173.5137,70.593666,2608,10.402105,PGC2737130
VFID0122,173.98878,70.53564,2695.8,106.1992,NGC3735
VFID0123,201.05708,70.53167,3084,29.793482,UGC08434
VFID0124,109.473335,70.51906,2953,32.14558,UGC03771
VFID0125,182.59215,70.5154,2124,43.663773,UGC07164
VFID0126,200.72556,70.514465,3136.2,30,NGC5144
VFID0127,254.08095,70.4468,1326.4,23.93984,UGC10636
VFID0128,182.5251,70.4036,2105,26.128908,UGC07160
VFID0129,173.29112,70.390114,2595.3,18.885185,UGC06532
VFID0130,182.62758,70.36937,2101.2,23.995028,UGC07168
VFID0131,251.59164,70.358765,1131.6,36.908062,NGC6237
VFID0132,275.72235,70.22536,1506.1,12.27782,PGC061798
VFID0133,157.6028,70.05159,1920.1,92.70886,UGC05688
VFID0134,239.98787,69.996086,989,11.043869,PGC056622
VFID0135,126.37185,69.8997,2225,26.068813,UGC04378
VFID0136,253.23824,69.8822,1279,25.829813,UGC10609
VFID0137,176.12396,69.729774,2703.4,21.533829,UGC06711
VFID0138,160.36,69.70611,2972.3,25.1838,UGC05809
VFID0139,170.52989,69.633675,1307.3,59.03659,UGC06378
VFID0140,103.878624,69.56297,1206.1,63.550835,UGC03580
VFID0141,182.12921,69.54488,2246.3,47.110886,NGC4120
VFID0142,272.03772,69.502335,1618,9.730188,PGC061437
VFID0143,135.95166,69.48717,2200,19.639086,UGC04739
VFID0144,171.04466,69.413086,1573.3,43.663773,NGC3654
VFID0145,146.31578,69.39025,570.6,46.67897,PGC027949
VFID0146,176.70584,69.38364,1431.1,61.111263,NGC3879
VFID0147,124.1604,69.347,1054,100,PGC2807126
VFID0148,180.37346,69.32391,2368.3,43.363194,NGC4034
VFID0149,149.79472,69.25798,1217.7,19.236288,PGC028848
VFID0150,139.82681,69.20331,696.8,97.078094,NGC2787
VFID0151,154.9705,69.18858,557,100,[CKT2009]D1019+69
VFID0152,176.91858,69.10409,1460.2,39.547703,UGC06764
VFID0153,203.27441,68.86034,1500,11.484742,PGC047710
VFID0154,159.37044,68.819496,1824.1,52.4954,UGC05765
VFID0155,182.1348,68.76761,2336.6,66.24014,NGC4128
VFID0156,146.55418,68.715324,1187,100,[CKT2009]D0946+68
VFID0157,182.51624,68.69484,2450.9,3.7163897,SDSSJ121003.98+684141.9
VFID0158,141.29875,68.383194,631.2,25.534142,UGC04998
VFID0159,109.51783,68.3427,2660,100,PGC020611
VFID0160,244.15471,68.202576,1119.2,27.486614,IC1218
VFID0161,275.485,68.12878,2640.3,32.14558,UGC11222
VFID0162,194.06665,68.112885,1878.6,12.59277,PGC2712133
VFID0163,207.06952,68.08496,1780.6,71.96499,UGC08737
VFID0164,163.17125,67.98889,1115.8,50.132717,UGC05979
VFID0165,277.66586,67.98703,2584.6,56.379505,NGC6667
VFID0166,108.97411,67.98383,1154.1,50.36412,UGC03749
