t1_vfid,t1_ra,t1_dec,t1_vr,t1_radius,t1_objname,flux_g,flux_r,flux_w1,flux_w2,flux_w3,flux_w4,flux_z,dist_arcsec
VFID0038,132.10167,73.67128,1896,10.141945,NGC2636,1705.6,3429.34,3939.15,2149.68,791.094,1185.47,5306.25,0.783366029909912
VFID0041,126.95062,73.65134,2140,24.050343,UGC04389,951.835,1534.4,1394.33,921.284,2698.63,-5733.27,2136.11,0.796532169078538
VFID0044,279.74814,73.60997,1519.6,39.547703,UGC11331,1155.42,1795.77,718.066,357.685,-371.482,-832.776,2281.4,0.734023329910267
VFID0046,279.85483,73.58013,1556,63.258846,NGC6654A,3226.73,5111.07,3821.48,2237.63,7171.87,4109.19,9350.88,0.266458321413248
VFID0047,131.99034,73.53933,2380.7,39.00509,IC2389,0,0,0,0,0,0,0,0.585420121451979
VFID0048,126.96501,73.51706,2169.2,44.680832,UGC04390,5253.74,8991.9,10129.7,4113.34,10237.1,2584.99,11759.2,0.723099316134075
VFID0049,108.58571,73.48062,2795.7,64.13886,PGC020460,0,0,0,0,0,0,0,0.127217485177903
VFID0049,108.58571,73.48062,2795.7,64.13886,PGC020460,439.795,837.18,1569.35,883.931,27.031,338.223,696.536,0.0752900767640477
VFID0050,108.58466,73.47339,2707,100,PGC200231,0,0,0,0,0,0,0,0.316540171215796
VFID0051,108.04654,73.47061,2685,36.151077,UGC03705,5471,8895.88,8110.27,4408.53,18571.2,24558.5,12544.2,0.349783175503948
VFID0051,108.04654,73.47061,2685,36.151077,UGC03705,0,0,0,0,0,0,0,0.505108611992998
VFID0052,259.02197,73.43605,1253.4,32.74321,UGC10803,0,0,0,0,0,0,0,0.828001953923932
VFID0053,268.569,73.42394,1337,28.321827,NGC6538,0,0,0,0,0,0,0,0.791386816869689
VFID0054,126.20956,73.411995,2341.6,47.219486,NGC2551,0,0,0,0,0,0,0,0.20727495644063
VFID0054,126.20956,73.411995,2341.6,47.219486,NGC2551,8068.59,16084.6,23374.4,12388.7,9624.85,11776.3,28340.9,0.259297615661794
VFID0056,144.33534,73.38466,2135,12.506082,UGC05110,539.798,804.014,431.49,230.118,281.318,171.717,988.873,0.484519411537403
VFID0057,155.19592,73.28427,2741.7,30.277586,UGC05570,447.314,865.805,1078.83,637.929,1553.07,1922.88,1411.34,0.614782160773954
VFID0059,276.03134,73.18325,1832.4,87.32151,NGC6654,14019.5,30080.2,31700.9,16852.1,10490,6607.7,57098,0.51500782835816
VFID0059,276.03134,73.18325,1832.4,87.32151,NGC6654,317.067,7252.97,3835.14,2106.33,407.681,-130.366,340.524,0.874314888590897
VFID0065,131.99,72.89572,3123,37.76776,NGC2641,0,0,0,0,0,0,0,0.376890015499777
VFID0065,131.99,72.89572,3123,37.76776,NGC2641,2635.12,6478.54,11596.6,6190.91,2546.39,2025.78,12215.2,0.389599309621838
VFID0066,192.53004,72.87447,1622.9,71.96499,NGC4750,0,0,0,0,0,0,0,0.696429786522112
VFID0066,192.53004,72.87447,1622.9,71.96499,NGC4750,0,0,0,0,0,0,0,0.696429786522112
VFID0066,192.53004,72.87447,1622.9,71.96499,NGC4750,0,0,0,0,0,0,0,0.696429786522112
VFID0066,192.53004,72.87447,1622.9,71.96499,NGC4750,41375.6,87516.1,100153,59671.7,167562,197434,149851,0.490004790330304
VFID0066,192.53004,72.87447,1622.9,71.96499,NGC4750,42843.8,89958.2,104342,62087.6,173629,202639,153721,0.495665253555158
VFID0067,161.79163,72.83967,2827.5,63.84417,NGC3348,24074.9,55038.9,83537.9,44182.8,16869.5,6162.83,102792,0.35622404220242
VFID0068,161.92426,72.82186,1008,20.376108,PGC032213,611.585,1433.21,2187.97,1305.35,3410.4,9786.04,2647.11,0.202932720030414
VFID0069,116.24885,72.81096,2480,29.384699,UGC03975,3301.79,5057.28,2659.79,1421.35,1679.88,-5082.31,6456.59,0.367405248699079
VFID0070,122.74683,72.79444,3150,35.004288,UGC04242,0,0,0,0,0,0,0,0.162241132657129
VFID0070,122.74683,72.79444,3150,35.004288,UGC04242,1942.08,3220.58,2788.68,1659.3,6954.35,-21141.1,4496.4,0.150623808850141
VFID0071,257.98795,72.582016,910,18.92872,PGC2750394,520.224,839.367,666.025,400.053,965.631,2524.88,1183.44,0.300930137635091
VFID0073,166.69778,72.56854,2598.6,57.427677,NGC3516,0,0,0,0,0,0,0,0.525207323775593
VFID0073,166.69778,72.56854,2598.6,57.427677,NGC3516,13085,26988.5,63682.2,69197.5,199486,528877,43980.9,0.499984198169039
VFID0074,112.73625,72.517555,2615.8,39.185127,UGC03864,0,0,0,0,0,0,0,0.960283133952411
VFID0075,146.69691,72.450584,2100,12.797385,PGC028070,74.1884,139.623,432.864,306.566,2389.09,4770.08,163.523,0.161500599629542
VFID0077,162.12413,72.42506,2729,41.794704,NGC3364,0,0,0,0,0,0,0,0.238898820507204
VFID0077,162.12413,72.42506,2729,41.794704,NGC3364,4042.21,7910.74,8899.32,5400.04,23992.3,31180,12815.7,0.402807931974582
VFID0078,257.55463,72.41061,1170.3,36.234413,IC1251,4998.14,7786.79,5411.67,3162.18,4261.77,5662.33,11132,0.758193424983513
VFID0079,257.88928,72.40198,1205.3,27.360325,IC1254,0,0,0,0,0,0,0,0.778174796718916
VFID0080,258.66113,72.39875,1327.8,55.862614,UGC10791,7.37473,14.0497,121.126,73.9293,143.789,415.969,11.1123,0.474890073992579
VFID0080,258.66113,72.39875,1327.8,55.862614,UGC10791,0,0,0,0,0,0,0,0.456003668237546
VFID0081,257.60373,72.30439,1215,91.22655,NGC6340,28903.2,58691,84068.4,48994.5,22920.7,18528.1,93596,0.363112398230368
VFID0082,147.59195,72.2792,1323,108.42296,NGC2985,44184.5,89122.3,104593,58252.4,139128,186841,149703,0.890823200355947
VFID0084,148.91891,72.20363,1058.3,100.48963,NGC3027,0,0,0,0,0,0,0,0.920846032511313
VFID0084,148.91891,72.20363,1058.3,100.48963,NGC3027,12070.6,17973,8823.35,5260.47,13281.5,20856.5,20513.5,0.559990613758169
VFID0086,150.48042,72.17028,1995.2,55.99139,NGC3065,8439.02,17384.9,31260.3,18358.1,10151,13206.3,30945.9,0.290243731669023
VFID0086,150.48042,72.17028,1995.2,55.99139,NGC3065,0,0,0,0,0,0,0,0.338703547956691
VFID0088,150.54541,72.12525,2104.7,33.505898,NGC3066,5150.59,9379.84,12087.9,7886.48,61160.2,286926,14522.1,0.523979413333372
VFID0088,150.54541,72.12525,2104.7,33.505898,NGC3066,5127.7,9336.11,12048.4,7860.32,61044.8,280820,14459.9,0.52662116982211
VFID0088,150.54541,72.12525,2104.7,33.505898,NGC3066,0,0,0,0,0,0,0,0.0511931378756566
VFID0088,150.54541,72.12525,2104.7,33.505898,NGC3066,0,0,0,0,0,0,0,0.0511931378756566
VFID0089,264.20346,72.08894,2486.9,62.678883,NGC6434,6590.84,12050.5,19089.3,11533.6,49940.4,137448,20150.8,0.309292401727828
VFID0089,264.20346,72.08894,2486.9,62.678883,NGC6434,0,0,0,0,0,0,0,0.18501052540643
VFID0092,118.248795,72.041275,2487.3,28.452555,UGC04050,1626.21,2478.95,1876.38,1121.67,2461.06,5716.94,3266.26,0.740332443997677
VFID0093,107.84397,71.83639,3139.5,65.63285,UGC03697,2259.04,4277.24,7080,4593.89,30281.2,20772.5,7213.89,0.408770946247123
VFID0095,163.01746,71.773026,1249,34.524014,UGC05955,3233.83,6996.65,7196.83,3934.92,1175.05,537.666,11930,0.556803657289263
VFID0095,163.01746,71.773026,1249,34.524014,UGC05955,0,0,0,0,0,0,0,0.556995930434172
VFID0096,108.13629,71.75053,3059,55.60595,UGC03714,0,0,0,0,0,0,0,0.153209365487928
VFID0096,108.13629,71.75053,3059,55.60595,UGC03714,8702.73,17582.5,29061.9,18439.7,114341,175000,28384.1,0.244448530872377
VFID0097,108.28021,71.670334,3088,17.952349,PGC020412,585.331,1154.84,2168.85,1459.33,10248.4,24109.4,1990.75,0.753815789339645
VFID0099,110.644295,71.59897,2873.4,54.215225,UGC03804,6480.13,12458.5,14187.7,8118.83,19911.3,20831.3,20883.9,0.529443016227637
VFID0101,163.9297,71.488335,1281,23.829847,PGC032818,940.042,1394.75,894.484,536.716,742.397,3254.29,1808.71,0.96633878669452
VFID0101,163.9297,71.488335,1281,23.829847,PGC032818,0,0,0,0,0,0,0,0.0600125051789509
VFID0102,191.40167,71.318726,1200,14.161891,PGC043010,1058.49,1893.32,2133.76,1314.29,6554.36,18.594,2627.23,0.250292080610299
VFID0102,191.40167,71.318726,1200,14.161891,PGC043010,0,0,0,0,0,0,0,0.295935176309494
VFID0107,191.78802,71.17621,1672.4,30,NGC4693,3552.87,5892.62,6303.43,3666.83,11411.6,13102.4,9843.71,0.791928645091318
VFID0108,115.0014,71.1352,2457.5,36.65399,UGC03940,427.848,669.039,299.462,156.367,107.324,1512.01,809.609,0.994370070381738
VFID0109,261.63034,71.0963,1162.7,67.47164,NGC6395,5321.77,8125.85,6118.38,3602.66,10805.5,14667.9,11553.6,0.590084679305883
VFID0109,261.63034,71.0963,1162.7,67.47164,NGC6395,7889.34,10930.1,15707.6,9242.43,26484,33418.7,31668.8,0.757383639076374
VFID0110,106.40933,71.07039,3245.8,56.77031,UGC03644,6936.23,11034.9,6276.05,3592.32,10550.2,-3251.06,15480,0.212426973197019
VFID0112,105.672874,70.97061,3274.8,29.520332,UGC03626,0,0,0,0,0,0,0,0.962051630154292
VFID0115,184.35976,70.802444,2039,56.120464,NGC4250,11664.1,23122.2,32757.3,20853.8,68206.4,131203,37162.6,0.605827233211601
VFID0115,184.35976,70.802444,2039,56.120464,NGC4250,0,0,0,0,0,0,0,0.663521437983842
VFID0117,251.14487,70.78036,1279.7,54.591026,NGC6236,5513.73,8197.81,3572.99,2023.49,6230.86,11239.6,9917.18,0.683570529537879
VFID0118,140.27667,70.6983,838.1,18.49785,PGC026462,798.935,2407.08,10305.3,7335.59,72477.1,165862,5281.68,0.170703441191473
VFID0119,170.42908,70.64764,2571,26.370676,UGC06371,955.48,1624.78,1289.86,737.149,1695.1,2390.53,2329.73,0.564260602614078
VFID0121,173.5137,70.593666,2608,10.402105,PGC2737130,223.128,398.781,480.474,277.943,1123.5,-558.742,764.363,0.538823281117408
VFID0122,173.98878,70.53564,2695.8,106.1992,NGC3735,13075.7,20517.6,49303.4,33924.1,235366,603471,44991.1,0.216221555568698
VFID0123,201.05708,70.53167,3084,29.793482,UGC08434,353.522,498.946,286.285,163.164,142.548,-657.222,626.821,0.972607512141431
VFID0124,109.473335,70.51906,2953,32.14558,UGC03771,1533.57,2450.87,1823.08,1063.83,4103.32,6585.63,3494.69,0.979840145447883
VFID0125,182.59215,70.5154,2124,43.663773,UGC07164,371.168,549.989,220.428,122.7,88.7205,-1826.01,641.899,0.346075362488659
VFID0126,200.72556,70.514465,3136.2,30,NGC5144,4216.91,6342.86,5698.53,3827.09,35512,74297.8,8523.91,0.606529604198684
VFID0128,182.5251,70.4036,2105,26.128908,UGC07160,329.921,395.428,410.666,176.521,-1438.74,-11087.1,380.504,0.341914355792008
VFID0130,182.62758,70.36937,2101.2,23.995028,UGC07168,1773.96,2239.35,1022.31,627.701,1394.3,9443.75,2476.91,0.899654547176646
VFID0130,182.62758,70.36937,2101.2,23.995028,UGC07168,778.846,983.527,509.943,308.814,509.614,2018.86,1066.56,0.493639765816084
VFID0131,251.59164,70.358765,1131.6,36.908062,NGC6237,0,0,0,0,0,0,0,0.662232810211615
VFID0134,239.98787,69.996086,989,11.043869,PGC056622,439.171,619.819,360.457,206.528,218.93,613.977,756.712,0.210072976716333
VFID0137,176.12396,69.729774,2703.4,21.533829,UGC06711,2637.48,4193.06,3662.29,2280.93,12913.3,20946.9,5635.16,0.519410385131629
VFID0137,176.12396,69.729774,2703.4,21.533829,UGC06711,0,0,0,0,0,0,0,0.50441529411095
VFID0140,103.878624,69.56297,1206.1,63.550835,UGC03580,7896.65,13770.3,14762.1,9068.52,44455.5,51849.3,21112.8,0.850080991290636
VFID0140,103.878624,69.56297,1206.1,63.550835,UGC03580,0,0,0,0,0,0,0,0.85186991797964
VFID0141,182.12921,69.54488,2246.3,47.110886,NGC4120,6994.21,11296.8,10121,6202.01,23357.8,33762,16077.1,0.649700635958828
VFID0142,272.03772,69.502335,1618,9.730188,PGC061437,200.285,400.449,547.94,357.873,1487.6,2104.44,686.783,0.268510452711939
VFID0143,135.95166,69.48717,2200,19.639086,UGC04739,0,0,0,0,0,0,0,0.222733592487699
VFID0143,135.95166,69.48717,2200,19.639086,UGC04739,1174.74,1824.6,1820.41,1142.13,5461.44,16672.1,2391.86,0.0963323860424309
VFID0144,171.04466,69.413086,1573.3,43.663773,NGC3654,0,0,0,0,0,0,0,0.431481375789417
VFID0146,176.70584,69.38364,1431.1,61.111263,NGC3879,5310.54,11874.5,7154.13,4209.13,6739,1696.2,14916,0.525377103666527
VFID0148,180.37346,69.32391,2368.3,43.363194,NGC4034,5482.73,9961.73,7451.21,4144.17,9236.27,9597.59,13739.5,0.446207385808814
VFID0148,180.37346,69.32391,2368.3,43.363194,NGC4034,0,0,0,0,0,0,0,0.395365174767018
VFID0149,149.79472,69.25798,1217.7,19.236288,PGC028848,473.369,669.305,398.542,237.529,156.781,820.359,810.757,0.306475378031716
VFID0150,139.82681,69.20331,696.8,97.078094,NGC2787,33347.7,82373.2,127179,67718.3,44000,32548.3,164877,0.336132537692613
VFID0150,139.82681,69.20331,696.8,97.078094,NGC2787,0,0,0,0,0,0,0,0.945172836158006
VFID0153,203.27441,68.86034,1500,11.484742,PGC047710,531.556,734.854,487.98,302.802,1163.82,4710.56,822.471,0.683652477429645
VFID0153,203.27441,68.86034,1500,11.484742,PGC047710,531.447,734.672,488.247,302.877,1158.21,4655.99,822.386,0.683621722156311
